number,value,datetime_start,datetime_complete,duration,params_centroid_method,params_centroid_threshold,params_flag_condition,params_icp_max_correspondence_dist,params_point_threshold,state
12,0.3284883720930233,2026-05-25 20:45:05.848740,2026-05-25 21:06:36.191343,0 days 00:21:30.342603,first_diff,0.9512287479763418,or,0.4403880175609497,0.08769970333893784,COMPLETE
13,0.3163082437275986,2026-05-25 21:06:36.244858,2026-05-25 21:25:49.900568,0 days 00:19:13.655710,first_diff,0.48440107506999863,or,0.10647544009320883,0.19135089852508966,COMPLETE
14,0.33971690258118237,2026-05-25 21:25:49.952505,2026-05-25 21:48:44.290890,0 days 00:22:54.338385,linear_velocity,0.7801136990965511,or,0.6874130802024829,0.10647935470924821,COMPLETE
15,0.3452317527970165,2026-05-25 21:48:44.342899,2026-05-25 22:10:05.181906,0 days 00:21:20.839007,first_diff,0.28728650115512633,or,0.2687793682900306,0.030650294872240406,COMPLETE
16,0.09171974522292992,2026-05-25 22:10:05.231860,2026-05-25 22:31:52.892473,0 days 00:21:47.660613,linear_velocity,0.6308187217079619,or,0.4178489758823907,0.18868396195249945,COMPLETE
17,0.34598930481283424,2026-05-25 22:31:52.941892,2026-05-25 22:54:29.040054,0 days 00:22:36.098162,first_diff,0.2417681571418503,or,0.7499839677311977,0.11315938065405924,COMPLETE
18,0.3642752562225475,2026-05-25 22:54:29.088200,2026-05-25 23:17:16.681545,0 days 00:22:47.593345,first_diff,0.23274472163499688,and,0.8109691196781996,0.063478537543871,COMPLETE
19,0.0,2026-05-25 23:17:16.781488,2026-05-25 23:40:39.917487,0 days 00:23:23.135999,linear_velocity,0.8634995942730335,and,0.8244545439317669,0.060708854006431175,COMPLETE
20,0.2934963868816009,2026-05-25 23:40:39.973020,2026-05-26 00:03:40.043264,0 days 00:23:00.070244,first_diff,0.5117073563055857,and,0.9795398190355702,0.05089399461242737,COMPLETE
21,0.33368606701940035,2026-05-26 00:03:40.106202,2026-05-26 00:26:33.315972,0 days 00:22:53.209770,first_diff,0.24933225161231487,and,0.7493229922289033,0.11192328338934382,COMPLETE
22,0.3440929632020659,2026-05-26 00:26:33.376828,2026-05-26 00:49:13.220126,0 days 00:22:39.843298,first_diff,0.23102272402000645,and,0.8458307192998445,0.10277704316660066,COMPLETE
23,0.3540903540903541,2026-05-26 00:49:13.284387,2026-05-26 01:12:00.684442,0 days 00:22:47.400055,first_diff,0.3703273297544374,and,0.5797464257392546,0.06609221791499056,COMPLETE
24,0.34332191780821913,2026-05-26 01:12:00.744374,2026-05-26 01:34:41.808591,0 days 00:22:41.064217,first_diff,0.397044291410941,and,0.5436011146192912,0.06148202850548658,COMPLETE
25,0.3163383545770567,2026-05-26 01:34:41.871822,2026-05-26 01:58:26.151316,0 days 00:23:44.279494,first_diff,0.4640527821504604,and,0.611874046171671,0.08041422897631201,COMPLETE
26,0.31759656652360513,2026-05-26 01:58:26.215382,2026-05-26 02:21:21.973471,0 days 00:22:55.758089,linear_velocity,0.3410189898871521,and,0.5213563818347731,0.04550833883164463,COMPLETE
27,0.12148481439820022,2026-05-26 02:21:22.042825,2026-05-26 02:44:35.573407,0 days 00:23:13.530582,first_diff,0.6859279552317308,and,0.7018325631547706,0.067701059103208,COMPLETE
28,0.0625,2026-05-26 02:44:35.630512,2026-05-26 03:09:11.726764,0 days 00:24:36.096252,linear_velocity,0.5660356488988222,and,0.8898181460838562,0.09325924897599722,COMPLETE
29,0.025174825174825173,2026-05-26 03:09:11.792333,2026-05-26 03:33:37.017360,0 days 00:24:25.225027,first_diff,0.7282869760048611,and,0.8070450051301004,0.12644084987948168,COMPLETE
30,0.3798219584569733,2026-05-26 03:33:37.080649,2026-05-26 03:57:46.898929,0 days 00:24:09.818280,first_diff,0.3237280960446476,and,0.6170334434639358,0.07201929938962984,COMPLETE
31,0.37455830388692574,2026-05-26 03:57:47.005771,2026-05-26 04:21:44.933091,0 days 00:23:57.927320,first_diff,0.2909915357605425,and,0.6018257633102243,0.07460571755188959,COMPLETE
32,0.37964633706243234,2026-05-26 04:21:44.993895,2026-05-26 04:46:13.993230,0 days 00:24:28.999335,first_diff,0.30473763656361547,and,0.6332845544892423,0.07285027850741792,COMPLETE
33,0.37702607470049326,2026-05-26 04:46:14.057452,2026-05-26 05:11:06.642892,0 days 00:24:52.585440,first_diff,0.2928481756301187,and,0.6574818175854531,0.07423672934454231,COMPLETE
34,0.3803636363636363,2026-05-26 05:11:06.705545,2026-05-26 05:34:55.782223,0 days 00:23:49.076678,first_diff,0.2975865043481447,and,0.6594508882085085,0.08091062844152336,COMPLETE
35,0.32995194874532835,2026-05-26 05:34:55.893131,2026-05-26 05:58:47.267865,0 days 00:23:51.374734,first_diff,0.42841174146873556,and,0.6654385598213154,0.09186996011619779,COMPLETE
